"cod_producto","cod_barra","nombre_producto","descripcion_producto_previa"
"10133","36","PROVISORIO DENTAL (LABORATORIO)",""
"10134","121","PIEZA PUENTE PORCELANA PURA (LABORATORIO) POR CORONA (POR DIENTE )",""
"10135","122","PIEZA DE PUENTE  PORCELANA Y METAL (LABORATORIO) POR CORONA (POR DIENTE )",""
"10136","123","ARMAZON DE CROMO COBALTO (LABORATORIO)",""
"10137","124","PROTESIS  CROMO COBALTO POR  ARCADA  (LABORATORIO)",""
"10138","125","PPRR DE CROMO SUBSIGUIENTE (LABORATORIO)",""
"10139","126","PROTESIS PARCIAL ACRILICO POR ARCADA, SIN IMPORTAR CANT DE DIENTES (LABORATORIO)",""
"10140","127","COMPOSTURA PROTESIS  ACRILICO (LABORATORIO)",""
"10141","128","PROTESIS FLEXIBLE (COMPLETA Y PARCIAL ) (LABORATORIO) ",""
"10144","131","COMPOSTURA DE PROTESIS COMPLEJA (LABORATORIO)",""
"10145","132","GANCHO POR DIENTE PROTESIS  (LABORATORIO)",""
"10146","134","REVASADO DE PROTESIS (LABORATORIO)",""
"10147","135","AGREGADO DE CORONA ACRILICO  (LABORATORIO)",""
"10152","169","MANTENEDOR LINGUAL/PALATINO (LABORATORIO)",""
"10154","181","PLACA PARA BRUXISMO DE ACETATO  (LABORATORIO)",""
"10155","174","MANTENEDOR A PLACA DE ACETATO X ARCADA (LABORATORIO)",""
"10156","87","CORONA TIPO VENEER (LABORATORIO)",""
"10158","011","RETIRO DE CORONA ",""
"10159","160","CANCELACION DE CONTRATO ",""
"10161","103","ORTODONCIA  AUTOLIGADO  METALICO X12",""
"10162","889","APARATO ORTOPEDICO HYRAX ",""
"10166","112","BARRA TRANSPLANTINA",""
"10167","114","COLOCACIÓN DE BANDA CON TUBO VESTIBULAR Y LINGUAL ",""
"10168","170","CONSULTA ODONTOLOGICA",""
"10169","171","INSTALACION ORTODONCIA SUPERIOR E INFERIOR ",""
"10170","104","ORTODONCIA AUTOLIGADO METALICO X24",""
"10171","108","ORTODONCIA AUTOLIGADO METALICO X36",""
"10172","190","CEMENTADO DE  PERNO (METALICO O ESTETICO)",""
"10175","158","RETRATAMIENTO ENDODONCIA (MECANIZADA ANTERIOR)",""
"10177","113","RETRATAMIENTO ENDODONCIA (MECANIZADA PRE MOLAR)",""
"10178","115","RETRATAMIENTO ENDODONCIA (MECANIZADA MOLAR)",""
"10179","156","TOMA DE MUESTRA ( PARA BIOPSIA)",""
"10180","013","GINGIVECTOMIA POR ARCADA ",""
"10182","101","ENDROCROWN (CEROMERO) (LABORATORIO)",""
"10185","556","MANTENEDOR DE ESPACIO BANDA ANCHA ",""
"10186","661","MANTENEDOR DE ESPACIO REMOVIBLE ",""
"10187","667","FERULIZACION ",""
"10188","238","PLACA DE HAWLEY",""
"10189","558","CUBETA INDIVIDUAL ",""
"10190","7","BRACKET AUTOLIGADO METALICO POR PIEZA",""
"10191","85","SELLADO DE FOSAS Y FISURAS ANTICARIES (PEDIATRIA)",""
